suburb,2015_price,2016_price,2017_price,2018_price,2019_price,2020_price,2021_price,2022_price,2023_price,2024_price,status,treated,2015_pop,2016_pop,2017_pop,2018_pop,2019_pop,2020_pop,2021_pop,2022_pop,2023_pop,2024_pop
BENALLA,222500.0,231500.0,250000.0,284000.0,290000.0,302000.0,394000.0,430500.0,425000.0,440000.0,,0.0,10425.0,10420.0,10484.0,10553.0,10620.0,10699.0,10753.0,10711.0,10755.0,10833.0
BENDIGO,372000.0,400000.0,400000.0,400000.0,420000.0,500000.0,600000.0,690000.0,540000.0,620000.0,,0.0,14753.0,14770.0,14844.0,14941.0,15072.0,15087.0,14955.0,14706.0,14566.0,14422.0
CAMBERWELL,1912500.0,2090000.0,2300000.0,2155000.0,2070000.0,2072500.0,2569000.0,2650000.0,2538000.0,2600000.0,,0.0,22179.0,22646.0,22799.0,22812.0,22839.0,22604.0,21500.0,21249.0,21785.0,22050.0
CASTLEMAINE,380000.0,410000.0,435000.0,499000.0,520000.0,556500.0,680500.0,737000.0,727000.0,747000.0,,0.0,10545.0,10770.0,10888.0,11015.0,11146.0,11277.0,11291.0,11330.0,11475.0,11507.0
COBURG NORTH,665000.0,780000.0,822000.0,814000.0,805000.0,899000.0,1008500.0,1020000.0,985000.0,1071000.0,,0.0,7789.0,8112.0,8383.0,8589.0,8694.0,8775.0,8513.0,8581.0,8788.0,8882.0
COLAC,246500.0,259500.0,282500.0,320000.0,315000.0,350000.0,420000.0,500000.0,481000.0,463000.0,,0.0,12337.0,12450.0,12553.0,12651.0,12719.0,12775.0,12698.0,12601.0,12602.0,12606.0
DROUIN,320000.0,347000.0,390000.0,455000.0,440000.0,467000.0,565000.0,620000.0,621500.0,605000.0,,0.0,15787.0,16435.0,17117.0,17780.0,18447.0,19198.0,19800.0,20528.0,21152.0,21760.0
FRANKSTON SOUTH,620000.0,690000.0,815500.0,855000.0,817500.0,860000.0,1150000.0,1200000.0,1160000.0,1150000.0,,0.0,18793.0,18995.0,19104.0,19194.0,19260.0,19182.0,18948.0,18985.0,19139.0,19184.0
GEELONG,607500.0,590000.0,735000.0,757500.0,720000.0,883500.0,950000.0,900000.0,991500.0,870000.0,,0.0,12955.0,13077.0,13207.0,13337.0,13439.0,13498.0,13487.0,13521.0,13623.0,13690.0
GISBORNE,550000.0,635000.0,655000.0,770000.0,730000.0,810000.0,898500.0,1052500.0,1000000.0,915000.0,,0.0,12850.0,13312.0,13611.0,13909.0,14121.0,14245.0,14340.0,14446.0,14885.0,15405.0
HADFIELD,550000.0,624500.0,740500.0,741500.0,730000.0,745000.0,890000.0,888000.0,850000.0,850500.0,,0.0,5803.0,5911.0,6021.0,6110.0,6273.0,6394.0,6298.0,6364.0,6502.0,6625.0
HAMPTON,1650000.0,1800000.0,2020000.0,1905000.0,1900000.0,2000000.0,2420000.0,2350000.0,2385000.0,2480000.0,,0.0,18345.0,18611.0,18735.0,18819.0,18912.0,18997.0,18405.0,18477.0,18793.0,19142.0
KYNETON,425500.0,455000.0,495000.0,550000.0,595000.0,614000.0,755000.0,897500.0,775000.0,780000.0,,0.0,9656.0,9782.0,9923.0,10070.0,10219.0,10371.0,10499.0,10549.0,10554.0,10580.0
LARA,348000.0,355000.0,430000.0,515000.0,495000.0,535000.0,682500.0,700000.0,685000.0,678000.0,,0.0,17996.0,18587.0,19152.0,19778.0,20283.0,20575.0,20859.0,21342.0,22051.0,22923.0
NORTH MELBOURNE,943000.0,1200000.0,1380000.0,1185000.0,1375000.0,1151500.0,1335000.0,1381000.0,1220000.0,1311000.0,,0.0,15556.0,16464.0,17002.0,17585.0,17941.0,18154.0,15945.0,16510.0,17942.0,19069.0
PASCOE VALE,720000.0,805000.0,891000.0,901000.0,855000.0,947500.0,1050000.0,1110000.0,1025000.0,1047500.0,,0.0,16547.0,17225.0,17551.0,17860.0,17962.0,17951.0,17402.0,17425.0,17876.0,18356.0
PORT MELBOURNE,1252500.0,1380000.0,1485000.0,1488000.0,1400000.0,1600000.0,1802500.0,1646000.0,1755000.0,1600000.0,,0.0,17254.0,17469.0,17494.0,17354.0,17310.0,16998.0,16366.0,16365.0,16752.0,16817.0
ROCHESTER,235000.0,239000.0,242500.0,236000.0,255000.0,237000.0,350000.0,440000.0,262500.0,300000.0,,0.0,3887.0,3895.0,3923.0,3941.0,3949.0,3973.0,3988.0,3943.0,3769.0,3683.0
SOMERVILLE,425000.0,465000.0,580000.0,615000.0,600000.0,640000.0,780000.0,812000.0,765000.0,812500.0,,0.0,18685.0,18878.0,18906.0,18911.0,18847.0,18795.0,18693.0,18596.0,18776.0,18921.0
SOUTH MELBOURNE,1310000.0,1595000.0,1532500.0,1465000.0,1355000.0,1580000.0,1710000.0,1882500.0,1640000.0,1532500.0,,0.0,12177.0,12407.0,12512.0,12716.0,12764.0,12721.0,11856.0,11828.0,12455.0,12826.0
STAWELL,177000.0,177000.0,188000.0,190000.0,189000.0,227000.0,290000.0,355000.0,319000.0,315000.0,,0.0,8239.0,8225.0,8249.0,8279.0,8322.0,8387.0,8467.0,8422.0,8435.0,8369.0
THOMASTOWN,437000.0,493000.0,654000.0,636000.0,592000.0,620000.0,720000.0,710000.0,691000.0,720000.0,,0.0,21442.0,21485.0,21490.0,21458.0,21367.0,21173.0,20201.0,19959.0,20162.0,20484.0
THORNBURY,918000.0,1079500.0,1230000.0,1137500.0,1150000.0,1252500.0,1500000.0,1455000.0,1410000.0,1430000.0,,0.0,19254.0,19578.0,19720.0,19714.0,19729.0,19791.0,19153.0,19126.0,19544.0,19893.0
