metric,value
Median age of persons,34.0
Median total personal income ($/weekly),1085.0
Median total family income ($/weekly),2807.0
Median total household income ($/weekly),2096.0
Median mortgage repayment ($/monthly),2162.0
Median rent ($/weekly)(a),441.0
Average number of persons per bedroom,0.9
Average household size,2.1
