Suburb,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Brunswick,861000,947000,1200000,1100000,1037500,1100000,1350000,1330000,1300000,1300000
Bundoora,600500,652000,753000,730000,732500,745000,865000,853000,855000,865000
Coburg,778000,876000,1000000,966500,935500,1085000,1257500,1213000,1183000,1150000
Sunshine,530500,675000,765000,742000,720000,750000,870000,856500,800000,820000
