No.,Suburb,2018,2019,2020,2021,2022,2023,2024,2025
1,Sunshine,1413.4246575342465,1411.7808219178082,1383.5616438356165,1310.6849315068494,1315.2054794520548,1357.5342465753424,1377.9452054794522,1390.5479452054794
2,Bundoora - East,690.6,691.4666666666667,686.3333333333334,661.3333333333334,654.2666666666667,666.2,679.7333333333333,689.2666666666667
3,Coburg - East,1911.2857142857142,1913.857142857143,1895.0,1810.7142857142858,1843.0,1926.0,1983.857142857143,2065.285714285714
4,Brunswick East,2383.076923076923,2423.4615384615386,2512.3076923076924,2493.076923076923,2545.7692307692305,2632.8846153846152,2755.3846153846152,2825.576923076923
