suburb,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
CRANBOURNE,20568.0,20888.0,21207.0,21414.0,21516.0,21673.0,21581.0,21578.0,21983.0,22468.0
CRANBOURNE WEST,13995.0,15685.0,17160.0,18628.0,19788.0,20867.0,21853.0,22935.0,23770.0,24843.0
CROYDON,11528.0,11516.0,11545.0,11571.0,11594.0,11456.0,11011.0,10958.0,11195.0,11318.0
CROYDON SOUTH,4824.0,4856.0,4901.0,4918.0,4949.0,5015.0,4936.0,4960.0,5026.0,5118.0
DANDENONG NORTH,23449.0,23684.0,23834.0,23930.0,23974.0,23655.0,22834.0,22542.0,22878.0,23248.0
DAYLESFORD,9018.0,9117.0,9243.0,9389.0,9548.0,9729.0,9874.0,9990.0,10069.0,10218.0
DEER PARK,18523.0,18850.0,19066.0,19291.0,19238.0,18976.0,18219.0,17960.0,18163.0,18398.0
DELACOMBE,6846.0,7195.0,7622.0,8183.0,8890.0,9755.0,10648.0,11769.0,12824.0,14218.0
DELAHEY,8815.0,8841.0,8796.0,8732.0,8663.0,8533.0,8148.0,8024.0,8000.0,7981.0
DERRIMUT,8223.0,8686.0,8962.0,9037.0,9114.0,9015.0,8748.0,8705.0,8826.0,8880.0
DIGGERS REST,2252.0,2447.0,2637.0,2989.0,3760.0,4651.0,5302.0,5829.0,6425.0,6946.0
DINGLEY VILLAGE,10603.0,10611.0,10651.0,10700.0,10766.0,10736.0,10553.0,10542.0,10654.0,10728.0
DONCASTER,21076.0,21885.0,22707.0,23236.0,24172.0,25118.0,25173.0,25632.0,26863.0,27827.0
DOVETON,11665.0,11867.0,12095.0,12260.0,12345.0,12513.0,12058.0,12134.0,12468.0,12728.0
DROMANA,10785.0,11454.0,12015.0,12473.0,12778.0,13175.0,13469.0,13560.0,13560.0,13756.0
DROUIN,15787.0,16435.0,17117.0,17780.0,18447.0,19198.0,19800.0,20528.0,21152.0,21760.0
FLEMINGTON,10531.0,10734.0,10666.0,10654.0,10460.0,10270.0,9181.0,9143.0,9729.0,10215.0
FLINDERS,5604.0,5642.0,5720.0,5798.0,5878.0,5957.0,6024.0,6026.0,5989.0,6030.0
FOOTSCRAY,16762.0,17343.0,17673.0,17905.0,18054.0,18092.0,17419.0,18017.0,19845.0,20607.0
FOREST HILL,10874.0,11074.0,11197.0,11260.0,11204.0,11166.0,10866.0,10853.0,11008.0,11179.0
FOSTER,8774.0,8897.0,8973.0,9028.0,9124.0,9290.0,9378.0,9421.0,9479.0,9574.0
FRANKSTON,23135.0,23510.0,23738.0,23992.0,24129.0,24264.0,23909.0,23809.0,24132.0,24736.0
FRANKSTON NORTH,19827.0,19939.0,19999.0,20022.0,20010.0,19973.0,19666.0,19587.0,19730.0,19791.0
FRANKSTON SOUTH,18793.0,18995.0,19104.0,19194.0,19260.0,19182.0,18948.0,18985.0,19139.0,19184.0
GEELONG,12955.0,13077.0,13207.0,13337.0,13439.0,13498.0,13487.0,13521.0,13623.0,13690.0
GISBORNE,12850.0,13312.0,13611.0,13909.0,14121.0,14245.0,14340.0,14446.0,14885.0,15405.0
GOWANBRAE,2999.0,3042.0,3092.0,3120.0,3139.0,3156.0,3141.0,3123.0,3174.0,3173.0
GREENSBOROUGH,21224.0,21348.0,21413.0,21460.0,21476.0,21373.0,20995.0,20830.0,20939.0,21287.0
HADFIELD,5803.0,5911.0,6021.0,6110.0,6273.0,6394.0,6298.0,6364.0,6502.0,6625.0
HALLAM,11125.0,11335.0,11516.0,11697.0,11911.0,11968.0,11598.0,11554.0,11737.0,11898.0
HAMPTON,18345.0,18611.0,18735.0,18819.0,18912.0,18997.0,18405.0,18477.0,18793.0,19142.0
HAWTHORN EAST,15601.0,16192.0,16470.0,16676.0,16756.0,16698.0,15881.0,16063.0,16838.0,17242.0
HEATHCOTE,4452.0,4529.0,4608.0,4695.0,4790.0,4902.0,5026.0,5148.0,5247.0,5311.0
HEIDELBERG WEST,14634.0,14806.0,15054.0,15202.0,15544.0,15540.0,15039.0,15244.0,15799.0,16641.0
HIGHTON,22390.0,22794.0,23074.0,23463.0,23807.0,23858.0,24091.0,24561.0,25098.0,25546.0
KEILOR,8886.0,8993.0,9013.0,9012.0,8953.0,8778.0,8596.0,8531.0,8548.0,8675.0
KEILOR DOWNS,13960.0,13943.0,13920.0,13870.0,13765.0,13567.0,13193.0,12974.0,12995.0,13036.0
KEILOR EAST,14938.0,15200.0,15263.0,15357.0,15475.0,15471.0,15174.0,15173.0,15289.0,15463.0
KERANG,3900.0,3898.0,3900.0,3915.0,3924.0,3946.0,3944.0,3883.0,3835.0,3806.0
KIALLA,7213.0,7407.0,7703.0,8064.0,8454.0,8758.0,9067.0,9445.0,9691.0,10058.0
KILSYTH,9280.0,9470.0,9595.0,9685.0,9879.0,9962.0,9980.0,10087.0,10326.0,10647.0
KINGLAKE,3922.0,3984.0,4049.0,4121.0,4153.0,4172.0,4237.0,4291.0,4329.0,4369.0
KINGSBURY,11730.0,11965.0,12095.0,12071.0,11792.0,11525.0,10549.0,10747.0,11680.0,12454.0
KOO WEE RUP,7440.0,7719.0,8044.0,8303.0,8757.0,9387.0,10160.0,10802.0,11503.0,11981.0
KORUMBURRA,9167.0,9253.0,9347.0,9451.0,9593.0,9758.0,9787.0,9902.0,9872.0,9944.0
KYABRAM,11001.0,11034.0,11067.0,11055.0,11096.0,11134.0,11057.0,10975.0,10917.0,10836.0
KYNETON,9656.0,9782.0,9923.0,10070.0,10219.0,10371.0,10499.0,10549.0,10554.0,10580.0
LAKES ENTRANCE,9949.0,10038.0,10213.0,10424.0,10647.0,10873.0,11095.0,11163.0,11221.0,11259.0
LANGWARRIN,24357.0,24694.0,24863.0,25019.0,25109.0,25259.0,25252.0,25337.0,25531.0,25697.0
LARA,17996.0,18587.0,19152.0,19778.0,20283.0,20575.0,20859.0,21342.0,22051.0,22923.0
LAVERTON,8334.0,9385.0,10255.0,10899.0,11499.0,11972.0,11643.0,11839.0,12359.0,12672.0
LEONGATHA,11077.0,11202.0,11236.0,11328.0,11416.0,11437.0,11439.0,11545.0,11617.0,11636.0
LEOPOLD,12544.0,13140.0,13359.0,13411.0,13319.0,13279.0,13220.0,13314.0,13489.0,13715.0
LYSTERFIELD,6898.0,6917.0,6919.0,6919.0,6890.0,6802.0,6654.0,6552.0,6552.0,6583.0
MACEDON,3476.0,3525.0,3537.0,3542.0,3541.0,3536.0,3540.0,3571.0,3570.0,3623.0
MAFFRA,13873.0,13973.0,14132.0,14257.0,14418.0,14598.0,14698.0,14913.0,15138.0,15388.0
MAIDEN GULLY,4983.0,5155.0,5250.0,5322.0,5364.0,5465.0,5502.0,5587.0,5716.0,5801.0
MALVERN EAST,22174.0,22575.0,22785.0,22983.0,23099.0,23079.0,22202.0,22376.0,23133.0,23656.0
MARIBYRNONG,12562.0,12950.0,13161.0,13204.0,13241.0,13263.0,12712.0,12867.0,13364.0,13751.0
MEADOW HEIGHTS,15755.0,15779.0,15847.0,15876.0,15868.0,15840.0,15070.0,14627.0,14853.0,14915.0
MELTON,8183.0,8281.0,8319.0,8338.0,8359.0,8261.0,7966.0,7893.0,7990.0,8017.0
MELTON WEST,17387.0,18157.0,19045.0,20034.0,20993.0,21432.0,21505.0,21807.0,22199.0,22617.0
MENTONE,13332.0,13695.0,13784.0,13813.0,13883.0,13856.0,13303.0,13347.0,13702.0,13945.0
MERBEIN,4767.0,4820.0,4900.0,4963.0,4989.0,5002.0,4954.0,4898.0,4900.0,4916.0
MURRUMBEENA,9640.0,9809.0,9894.0,9897.0,9878.0,9771.0,9467.0,9526.0,9760.0,10010.0
MYRTLEFORD,4689.0,4742.0,4738.0,4734.0,4736.0,4734.0,4717.0,4671.0,4637.0,4606.0
NAGAMBIE,3936.0,4048.0,4106.0,4190.0,4251.0,4388.0,4509.0,4619.0,4693.0,4811.0
NARRE WARREN NORTH,7909.0,8183.0,8279.0,8372.0,8383.0,8365.0,8308.0,8225.0,8191.0,8160.0
NEWPORT,18134.0,18523.0,18726.0,18975.0,19261.0,19414.0,18983.0,18928.0,19445.0,19879.0
NOBLE PARK NORTH,7826.0,7871.0,7874.0,7858.0,7828.0,7762.0,7518.0,7450.0,7573.0,7622.0
NORLANE,8857.0,8931.0,8996.0,9023.0,9060.0,9070.0,9040.0,8937.0,8931.0,8906.0
NORTH MELBOURNE,15556.0,16464.0,17002.0,17585.0,17941.0,18154.0,15945.0,16510.0,17942.0,19069.0
NUMURKAH,12420.0,12422.0,12447.0,12473.0,12497.0,12524.0,12502.0,12484.0,12430.0,12438.0
