suburb,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
COLAC,246500.0,259500.0,282500.0,320000.0,315000.0,350000.0,420000.0,500000.0,481000.0,463000.0
COLLINGWOOD,914000.0,920000.0,1205000.0,1110000.0,1060000.0,1155000.0,1251500.0,1289000.0,1225000.0,1184000.0
CRANBOURNE,360000.0,406000.0,510000.0,540000.0,500000.0,510000.0,618000.0,660000.0,655000.0,660000.0
CRANBOURNE WEST,350000.0,410000.0,510500.0,540000.0,508000.0,510000.0,600000.0,680000.0,660000.0,685000.0
CROYDON,605000.0,695000.0,809000.0,792500.0,735000.0,785000.0,920000.0,900000.0,920000.0,923000.0
CROYDON SOUTH,600000.0,655000.0,800000.0,757500.0,715500.0,740000.0,890000.0,864000.0,890000.0,915000.0
DANDENONG NORTH,481000.0,551000.0,633500.0,640000.0,606500.0,640000.0,729000.0,740000.0,725000.0,756000.0
DAYLESFORD,442500.0,464000.0,502000.0,552500.0,592500.0,692500.0,835000.0,910000.0,899000.0,847500.0
DEER PARK,390000.0,441000.0,552500.0,580000.0,550000.0,580000.0,630000.0,635000.0,640000.0,657500.0
DELACOMBE,290000.0,319000.0,325000.0,360000.0,390000.0,410000.0,525000.0,570000.0,527500.0,525000.0
DELAHEY,400000.0,458000.0,545000.0,575000.0,530000.0,575000.0,645000.0,650000.0,639000.0,642500.0
DERRIMUT,466000.0,530000.0,635000.0,615000.0,649000.0,658000.0,715000.0,770000.0,740000.0,750000.0
DIGGERS REST,325000.0,360000.0,440500.0,500000.0,515000.0,560000.0,613000.0,657500.0,660000.0,655000.0
DINGLEY VILLAGE,690000.0,775500.0,887000.0,840500.0,810000.0,934000.0,1050000.0,1112000.0,1090000.0,1124500.0
DONCASTER,1176000.0,1297500.0,1368000.0,1320000.0,1270000.0,1280000.0,1500000.0,1500000.0,1547500.0,1480500.0
DOVETON,348000.0,405000.0,490000.0,543500.0,472000.0,500000.0,579000.0,625000.0,561500.0,600000.0
DROMANA,551000.0,583000.0,690000.0,786000.0,715000.0,762500.0,1000000.0,1100000.0,1055000.0,1000000.0
DROUIN,320000.0,347000.0,390000.0,455000.0,440000.0,467000.0,565000.0,620000.0,621500.0,605000.0
FLEMINGTON,830000.0,918000.0,1100000.0,926500.0,1000000.0,1028500.0,1250000.0,1103500.0,1017000.0,1085000.0
FLINDERS,839000.0,1225000.0,1525000.0,1697500.0,1670000.0,2085000.0,2667500.0,3342000.0,2800000.0,2500000.0
FOOTSCRAY,690500.0,775000.0,883500.0,899000.0,812000.0,870000.0,962500.0,993000.0,920000.0,960000.0
FOREST HILL,892000.0,933500.0,1060000.0,935000.0,900000.0,986000.0,1207500.0,1155500.0,1251000.0,1200000.0
FOSTER,325000.0,315000.0,320000.0,333500.0,330000.0,387500.0,457500.0,595000.0,590000.0,567500.0
FRANKSTON,426000.0,474000.0,600000.0,605000.0,581000.0,621500.0,750000.0,764500.0,736000.0,740000.0
FRANKSTON NORTH,297000.0,352000.0,470000.0,502000.0,423000.0,450000.0,580000.0,610000.0,574000.0,595000.0
FRANKSTON SOUTH,620000.0,690000.0,815500.0,855000.0,817500.0,860000.0,1150000.0,1200000.0,1160000.0,1150000.0
GEELONG,607500.0,590000.0,735000.0,757500.0,720000.0,883500.0,950000.0,900000.0,991500.0,870000.0
GISBORNE,550000.0,635000.0,655000.0,770000.0,730000.0,810000.0,898500.0,1052500.0,1000000.0,915000.0
GOWANBRAE,573000.0,619000.0,790000.0,727500.0,700500.0,739000.0,940000.0,902500.0,865000.0,1025000.0
GREENSBOROUGH,635000.0,717000.0,830000.0,815000.0,798000.0,850000.0,1001000.0,1000000.0,980000.0,1020000.0
HADFIELD,550000.0,624500.0,740500.0,741500.0,730000.0,745000.0,890000.0,888000.0,850000.0,850500.0
HALLAM,424000.0,455000.0,580000.0,630000.0,550000.0,600000.0,700000.0,720000.0,720000.0,750000.0
HAMPTON,1650000.0,1800000.0,2020000.0,1905000.0,1900000.0,2000000.0,2420000.0,2350000.0,2385000.0,2480000.0
HAWTHORN EAST,1850000.0,1890000.0,2350000.0,2221500.0,2087500.0,2383000.0,2280000.0,2655000.0,2770000.0,2585000.0
HEATHCOTE,240000.0,268500.0,275000.0,310000.0,335000.0,365000.0,390000.0,480000.0,485000.0,502500.0
HEIDELBERG WEST,580000.0,630000.0,730000.0,700000.0,670000.0,719000.0,810000.0,803500.0,751000.0,797000.0
HIGHTON,505000.0,555000.0,622500.0,681000.0,690000.0,744000.0,887000.0,950000.0,913500.0,863500.0
KEILOR,703000.0,805000.0,845000.0,817000.0,836500.0,885000.0,1070500.0,1000000.0,1132500.0,1110000.0
KEILOR DOWNS,496500.0,562000.0,670000.0,661000.0,630000.0,660000.0,765000.0,759000.0,770000.0,766500.0
KEILOR EAST,651000.0,720000.0,843000.0,830000.0,835000.0,842000.0,1000000.0,1000000.0,990000.0,1055000.0
KERANG,152000.0,167000.0,160000.0,177000.0,170000.0,200000.0,239000.0,275500.0,282500.0,310000.0
KIALLA,367500.0,374000.0,390000.0,418000.0,450000.0,482500.0,543000.0,640000.0,650000.0,670000.0
KILSYTH,548500.0,620000.0,698500.0,685500.0,645000.0,677500.0,781000.0,841500.0,810000.0,815000.0
KINGLAKE,340000.0,346000.0,458000.0,480000.0,555000.0,600000.0,640000.0,770000.0,662500.0,775000.0
KINGSBURY,560000.0,610000.0,731000.0,730000.0,660000.0,732500.0,848500.0,782000.0,792500.0,862500.0
KOO WEE RUP,345000.0,400000.0,450500.0,508500.0,550000.0,540000.0,610000.0,700000.0,670000.0,666500.0
KORUMBURRA,262500.0,257500.0,292000.0,317500.0,320000.0,391000.0,480000.0,525000.0,550000.0,550000.0
KYABRAM,240000.0,234000.0,239000.0,261000.0,263000.0,280000.0,319500.0,400000.0,455000.0,450000.0
KYNETON,425500.0,455000.0,495000.0,550000.0,595000.0,614000.0,755000.0,897500.0,775000.0,780000.0
LAKES ENTRANCE,255500.0,280000.0,281500.0,328000.0,300000.0,350000.0,422500.0,540000.0,510000.0,520000.0
LANGWARRIN,450000.0,503000.0,600000.0,642500.0,610000.0,660000.0,805000.0,860000.0,835000.0,858000.0
LARA,348000.0,355000.0,430000.0,515000.0,495000.0,535000.0,682500.0,700000.0,685000.0,678000.0
LAVERTON,377500.0,429000.0,535000.0,579000.0,529000.0,560000.0,605000.0,610000.0,582500.0,590000.0
LEONGATHA,305000.0,305000.0,320000.0,360000.0,370000.0,426000.0,505000.0,589000.0,580000.0,572500.0
LEOPOLD,365000.0,407000.0,447000.0,500500.0,510000.0,535000.0,652000.0,709000.0,682500.0,662000.0
LYSTERFIELD,780000.0,857500.0,995500.0,976500.0,956500.0,1009500.0,1132000.0,1267500.0,1307500.0,1331000.0
MACEDON,532500.0,585000.0,696000.0,815000.0,800000.0,883000.0,1130000.0,1073000.0,1105000.0,1100000.0
MAFFRA,230000.0,258000.0,251500.0,261500.0,255000.0,315000.0,337000.0,376500.0,425000.0,435000.0
MAIDEN GULLY,430000.0,477000.0,471000.0,495500.0,514000.0,579000.0,725000.0,760000.0,797500.0,760000.0
MALVERN EAST,1610000.0,1729000.0,1824000.0,1900000.0,1789000.0,1895000.0,2112500.0,2282500.0,2192500.0,2057500.0
MARIBYRNONG,837500.0,940000.0,1056000.0,1050000.0,961500.0,936500.0,1165000.0,1170000.0,1110000.0,1250000.0
MEADOW HEIGHTS,350500.0,370000.0,451000.0,510000.0,474000.0,499000.0,557500.0,580000.0,561000.0,595000.0
MELTON,255000.0,280500.0,369000.0,415000.0,385000.0,390000.0,455000.0,500000.0,470500.0,471000.0
MELTON WEST,295000.0,330000.0,409000.0,453000.0,428000.0,470000.0,515000.0,551000.0,550000.0,525000.0
MENTONE,950000.0,982500.0,1097500.0,1080000.0,1031000.0,1050000.0,1370000.0,1475000.0,1332500.0,1320000.0
MERBEIN,180000.0,170000.0,183500.0,180000.0,210000.0,201500.0,227500.0,320000.0,300000.0,345000.0
MURRUMBEENA,1204000.0,1286000.0,1420000.0,1343500.0,1241500.0,1405000.0,1695000.0,1670000.0,1650000.0,1706000.0
MYRTLEFORD,242000.0,270500.0,265000.0,295000.0,325000.0,385000.0,530000.0,609000.0,592500.0,582500.0
NAGAMBIE,360500.0,336000.0,330000.0,385000.0,414000.0,460000.0,545000.0,655000.0,645000.0,630000.0
NARRE WARREN NORTH,771500.0,900000.0,1108000.0,1180000.0,1070000.0,1167500.0,1421500.0,1600000.0,1580000.0,1685000.0
NEWPORT,825000.0,950000.0,1080000.0,1059000.0,1055000.0,1090000.0,1286500.0,1280000.0,1275000.0,1300000.0
NOBLE PARK NORTH,491500.0,563000.0,640000.0,660000.0,610000.0,655500.0,750000.0,795000.0,737500.0,772500.0
NORLANE,216000.0,236500.0,290000.0,355000.0,350000.0,372000.0,450000.0,481500.0,455000.0,462000.0
NORTH MELBOURNE,943000.0,1200000.0,1380000.0,1185000.0,1375000.0,1151500.0,1335000.0,1381000.0,1220000.0,1311000.0
NUMURKAH,219000.0,195000.0,219000.0,225000.0,250000.0,239000.0,310000.0,350000.0,360000.0,394500.0
NUNAWADING,880000.0,970000.0,1090000.0,986000.0,951000.0,1038500.0,1250000.0,1146000.0,1189000.0,1152500.0
OAK PARK,660000.0,822500.0,853500.0,878500.0,840000.0,911500.0,1150000.0,1140000.0,1085000.0,1122500.0
OCEAN GROVE,516500.0,555000.0,637000.0,691000.0,695000.0,790000.0,975500.0,1136500.0,989000.0,970000.0
ORBOST,145000.0,162500.0,159000.0,165000.0,185500.0,220000.0,240000.0,344000.0,340000.0,356000.0
PASCOE VALE,720000.0,805000.0,891000.0,901000.0,855000.0,947500.0,1050000.0,1110000.0,1025000.0,1047500.0
PASCOE VALE SOUTH,745000.0,840000.0,975000.0,955000.0,950000.0,1006000.0,1299500.0,1157500.0,1130000.0,1222500.0
PAYNESVILLE,305000.0,309000.0,336500.0,353000.0,346000.0,397000.0,465000.0,565000.0,515000.0,502500.0
PORT MELBOURNE,1252500.0,1380000.0,1485000.0,1488000.0,1400000.0,1600000.0,1802500.0,1646000.0,1755000.0,1600000.0
PORTARLINGTON,409000.0,460000.0,515000.0,640000.0,625000.0,690000.0,829500.0,985000.0,932500.0,890000.0
PORTLAND,220000.0,220000.0,230000.0,234500.0,266000.0,295000.0,370000.0,450000.0,439000.0,415000.0
RED CLIFFS,175000.0,165000.0,223500.0,211500.0,217500.0,270000.0,311000.0,325000.0,335000.0,397500.0
RIDDELLS CREEK,456500.0,500000.0,580000.0,675000.0,710000.0,680000.0,870000.0,872500.0,865000.0,815000.0
RINGWOOD,777500.0,837500.0,910500.0,896500.0,801000.0,900000.0,1018000.0,1038000.0,999500.0,1025000.0
RINGWOOD EAST,750000.0,806000.0,901000.0,881000.0,809000.0,861000.0,1050000.0,975000.0,1000000.0,1065000.0
RINGWOOD NORTH,783500.0,844000.0,960500.0,920000.0,870000.0,957500.0,1183000.0,1200000.0,1217500.0,1207500.0
ROBINVALE,184500.0,170000.0,197000.0,220000.0,231500.0,235000.0,340000.0,315000.0,350000.0,390000.0
ROCHESTER,235000.0,239000.0,242500.0,236000.0,255000.0,237000.0,350000.0,440000.0,262500.0,300000.0
ROMSEY,420000.0,428000.0,470000.0,550000.0,580500.0,630000.0,780000.0,839000.0,755000.0,785000.0
ROSEDALE,197000.0,230000.0,247000.0,280000.0,247000.0,250000.0,365000.0,420000.0,475000.0,452000.0
RUSHWORTH,177000.0,200000.0,192500.0,198000.0,205000.0,226000.0,301000.0,352500.0,367000.0,385000.0
RUTHERGLEN,230000.0,255000.0,262000.0,270000.0,282500.0,350000.0,402500.0,486500.0,479000.0,550000.0
SALE,298000.0,295500.0,300000.0,309500.0,325000.0,345000.0,399000.0,487000.0,480000.0,485000.0
