metric,value
Median age of persons,35.0
Median total personal income ($/weekly),706.0
Median total family income ($/weekly),1806.0
Median total household income ($/weekly),1566.0
Median mortgage repayment ($/monthly),1842.0
Median rent ($/weekly)(a),340.0
Average number of persons per bedroom,0.9
Average household size,2.6
